site_name,month,month_name,avg_enterococci,samples,poor_pct
Eastern Beach,2,Feb,43.04,25,4.0
Eastern Beach,3,Mar,86.79,14,7.14
Eastern Beach,4,Apr,167.44,9,22.22
Eastern Beach,5,May,115.75,8,25.0
Eastern Beach,6,Jun,88.0,8,12.5
Eastern Beach,7,Jul,24.75,4,0.0
Eastern Beach,8,Aug,15.25,4,0.0
Eastern Beach,9,Sep,108.25,8,12.5
Eastern Beach,10,Oct,320.1,10,10.0
Eastern Beach,11,Nov,49.09,11,0.0
Eastern Beach,12,Dec,118.58,24,12.5
Elwood,1,Jan,135.04,27,11.11
Elwood,2,Feb,37.12,25,4.0
Elwood,3,Mar,39.23,13,0.0
Elwood,4,Apr,193.67,9,22.22
Elwood,5,May,73.33,6,16.67
Elwood,6,Jun,50.88,8,0.0
Elwood,7,Jul,483.75,4,25.0
Elwood,8,Aug,5.0,4,0.0
Elwood,9,Sep,45.75,8,0.0
Elwood,10,Oct,14.22,9,0.0
Elwood,11,Nov,249.36,11,36.36
Elwood,12,Dec,173.75,24,25.0
Frankston Coast Guard,1,Jan,45.54,28,3.57
Frankston Coast Guard,2,Feb,36.54,24,4.17
Frankston Coast Guard,3,Mar,88.46,13,15.38
Frankston Coast Guard,4,Apr,211.78,9,22.22
Frankston Coast Guard,5,May,83.33,6,16.67
Frankston Coast Guard,6,Jun,3227.88,8,37.5
Frankston Coast Guard,7,Jul,1321.0,4,25.0
Frankston Coast Guard,8,Aug,996.5,4,25.0
Frankston Coast Guard,9,Sep,211.0,8,12.5
Frankston Coast Guard,10,Oct,1361.1,10,20.0
Frankston Coast Guard,11,Nov,98.73,11,9.09
Frankston Coast Guard,12,Dec,343.08,24,29.17
Frankston Surf Life Saving Club,1,Jan,80.29,28,10.71
Frankston Surf Life Saving Club,2,Feb,36.93,27,3.7
Frankston Surf Life Saving Club,3,Mar,128.0,13,15.38
Frankston Surf Life Saving Club,4,Apr,978.89,9,22.22
Frankston Surf Life Saving Club,5,May,114.5,6,16.67
Frankston Surf Life Saving Club,6,Jun,235.62,8,37.5
Frankston Surf Life Saving Club,7,Jul,1331.5,4,50.0
Frankston Surf Life Saving Club,8,Aug,243.75,4,25.0
Frankston Surf Life Saving Club,9,Sep,370.5,8,25.0
Frankston Surf Life Saving Club,10,Oct,106.3,10,20.0
Frankston Surf Life Saving Club,11,Nov,614.82,11,54.55
Frankston Surf Life Saving Club,12,Dec,397.83,24,37.5
Half Moon Bay,1,Jan,43.46,28,3.57
Half Moon Bay,2,Feb,30.92,25,0.0
Half Moon Bay,3,Mar,79.0,14,14.29
Half Moon Bay,4,Apr,221.89,9,11.11
Half Moon Bay,5,May,9.33,6,0.0
Half Moon Bay,6,Jun,53.0,8,0.0
Half Moon Bay,7,Jul,47.0,4,0.0
Half Moon Bay,8,Aug,6.25,4,0.0
Half Moon Bay,9,Sep,67.75,8,12.5
Half Moon Bay,10,Oct,43.78,9,0.0
Half Moon Bay,11,Nov,92.6,10,20.0
Half Moon Bay,12,Dec,54.71,24,8.33
Hampton,1,Jan,39.32,28,3.57
Hampton,2,Feb,37.42,26,7.69
Hampton,3,Mar,50.92,13,7.69
Hampton,4,Apr,415.67,9,22.22
Hampton,5,May,71.83,6,16.67
Hampton,6,Jun,42.0,8,12.5
Hampton,7,Jul,138.75,4,25.0
Hampton,8,Aug,5.0,4,0.0
Hampton,9,Sep,35.75,8,12.5
Hampton,10,Oct,52.33,9,11.11
