region,rain_yesterday_bucket,month,poor_pct,avg_enterococci,samples
Eastern Bayside,Dry (0mm),5,6.67,131.2,60
Eastern Bayside,Dry (0mm),6,8.33,65.32,60
Eastern Bayside,Dry (0mm),7,58.33,1148.08,12
Eastern Bayside,Dry (0mm),8,11.11,193.0,36
Eastern Bayside,Dry (0mm),9,8.33,121.15,72
Eastern Bayside,Dry (0mm),10,5.0,315.58,60
Eastern Bayside,Dry (0mm),11,2.78,32.33,36
Eastern Bayside,Dry (0mm),12,19.1,176.65,178
Eastern Bayside,Light (<5mm),1,14.89,131.7,47
Eastern Bayside,Light (<5mm),2,3.33,28.08,60
Eastern Bayside,Light (<5mm),3,0.0,19.25,36
Eastern Bayside,Light (<5mm),4,5.41,44.19,37
Eastern Bayside,Light (<5mm),5,8.33,81.17,12
Eastern Bayside,Light (<5mm),6,25.0,1270.5,24
Eastern Bayside,Light (<5mm),7,2.7,43.38,37
Eastern Bayside,Light (<5mm),8,8.33,162.08,12
Eastern Bayside,Light (<5mm),9,20.83,100.75,24
Eastern Bayside,Light (<5mm),10,22.22,219.44,18
Eastern Bayside,Light (<5mm),11,31.03,244.95,58
Eastern Bayside,Light (<5mm),12,16.9,184.08,71
Eastern Bayside,Moderate (5-20mm),1,7.89,47.61,38
Eastern Bayside,Moderate (5-20mm),2,2.78,38.67,36
Eastern Bayside,Moderate (5-20mm),3,33.33,248.58,12
Eastern Bayside,Moderate (5-20mm),4,0.0,24.92,12
Eastern Bayside,Moderate (5-20mm),5,,,0
Eastern Bayside,Moderate (5-20mm),6,41.67,370.92,12
Eastern Bayside,Moderate (5-20mm),7,,,0
Eastern Bayside,Moderate (5-20mm),8,,,0
Eastern Bayside,Moderate (5-20mm),9,,,0
Eastern Bayside,Moderate (5-20mm),10,4.17,54.79,24
Eastern Bayside,Moderate (5-20mm),11,25.0,201.06,36
Eastern Bayside,Moderate (5-20mm),12,33.33,192.42,36
Eastern Bayside,Heavy (20mm+),1,25.0,379.08,24
Eastern Bayside,Heavy (20mm+),2,,,0
Eastern Bayside,Heavy (20mm+),3,,,0
Eastern Bayside,Heavy (20mm+),4,,,0
Eastern Bayside,Heavy (20mm+),5,,,0
Eastern Bayside,Heavy (20mm+),6,,,0
Eastern Bayside,Heavy (20mm+),7,,,0
Eastern Bayside,Heavy (20mm+),8,,,0
Eastern Bayside,Heavy (20mm+),9,,,0
Eastern Bayside,Heavy (20mm+),10,0.0,22.33,12
Eastern Bayside,Heavy (20mm+),11,,,0
Eastern Bayside,Heavy (20mm+),12,,,0
Inner North,Dry (0mm),1,5.39,51.58,167
Inner North,Dry (0mm),2,5.26,59.13,152
Inner North,Dry (0mm),3,7.59,260.23,79
Inner North,Dry (0mm),4,20.0,514.47,45
Inner North,Dry (0mm),5,13.33,99.11,45
Inner North,Dry (0mm),6,4.44,46.18,45
Inner North,Dry (0mm),7,77.78,1392.78,9
Inner North,Dry (0mm),8,3.7,43.81,27
Inner North,Dry (0mm),9,9.26,108.56,54
Inner North,Dry (0mm),10,4.44,99.84,45
Inner North,Dry (0mm),11,0.0,32.81,27
Inner North,Dry (0mm),12,19.08,203.24,131
Inner North,Light (<5mm),1,34.29,441.31,35
Inner North,Light (<5mm),2,0.0,16.0,44
Inner North,Light (<5mm),3,0.0,17.07,27
Inner North,Light (<5mm),4,3.45,37.48,29
Inner North,Light (<5mm),5,0.0,7.78,9
Inner North,Light (<5mm),6,5.56,32.17,18
Inner North,Light (<5mm),7,0.0,7.54,28
Inner North,Light (<5mm),8,11.11,62.78,9
Inner North,Light (<5mm),9,33.33,241.22,18
Inner North,Light (<5mm),10,0.0,15.44,9
Inner North,Light (<5mm),11,33.33,253.09,45
Inner North,Light (<5mm),12,7.55,68.21,53
Inner North,Moderate (5-20mm),1,3.57,71.57,28
Inner North,Moderate (5-20mm),2,0.0,35.07,27
Inner North,Moderate (5-20mm),3,0.0,64.44,9
Inner North,Moderate (5-20mm),4,33.33,337.33,9
Inner North,Moderate (5-20mm),5,,,0
Inner North,Moderate (5-20mm),6,55.56,314.11,9
Inner North,Moderate (5-20mm),7,,,0
Inner North,Moderate (5-20mm),8,,,0
Inner North,Moderate (5-20mm),9,,,0
Inner North,Moderate (5-20mm),10,5.56,41.06,18
Inner North,Moderate (5-20mm),11,40.74,704.56,27
Inner North,Moderate (5-20mm),12,51.85,341.07,27
Inner North,Heavy (20mm+),1,38.89,873.83,18
Inner North,Heavy (20mm+),2,,,0
Inner North,Heavy (20mm+),3,,,0
Inner North,Heavy (20mm+),4,,,0
Inner North,Heavy (20mm+),5,,,0
Inner North,Heavy (20mm+),6,,,0
Inner North,Heavy (20mm+),7,,,0
Inner North,Heavy (20mm+),8,,,0
Inner North,Heavy (20mm+),9,,,0
Inner North,Heavy (20mm+),10,22.22,268.56,9
Inner North,Heavy (20mm+),11,,,0
Inner North,Heavy (20mm+),12,,,0
