date,rainfall
2020/1/1,0
2020/1/2,0
2020/1/3,0
2020/1/4,0
2020/1/5,2.2
2020/1/6,8.2
2020/1/7,1.2
2020/1/8,0
2020/1/9,0
2020/1/10,0
2020/1/11,15.6
2020/1/12,0
2020/1/13,0
2020/1/14,0
2020/1/15,0
2020/1/16,19.6
2020/1/17,0
2020/1/18,0
2020/1/19,0
2020/1/20,0.4
2020/1/21,44
2020/1/22,0
2020/1/23,22.8
2020/1/24,1.2
2020/1/25,0
2020/1/26,0
2020/1/27,0
2020/1/28,0
2020/1/29,0
2020/1/30,0
2020/1/31,0
2020/2/1,0.8
2020/2/2,14.8
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,0
2020/2/10,0.6
2020/2/11,0
2020/2/12,0
2020/2/13,0
2020/2/14,0
2020/2/15,5.4
2020/2/16,2.8
2020/2/17,0
2020/2/18,0
2020/2/19,38
2020/2/20,3.2
2020/2/21,2.8
2020/2/22,0
2020/2/23,0
2020/2/24,0
2020/2/25,3.6
2020/2/26,4
2020/2/27,0.2
2020/2/28,0
2020/2/29,0
2020/3/1,0
2020/3/2,3
2020/3/3,0
2020/3/4,0
2020/3/5,54.6
2020/3/6,7
2020/3/7,0.2
2020/3/8,0
2020/3/9,0
2020/3/10,0
2020/3/11,0
2020/3/12,0
2020/3/13,0
2020/3/14,0.6
2020/3/15,0
2020/3/16,0
2020/3/17,0
2020/3/18,0
2020/3/19,0
2020/3/20,0
2020/3/21,0
2020/3/22,0
2020/3/23,0.4
2020/3/24,0
2020/3/25,0
2020/3/26,0
2020/3/27,0
2020/3/28,0
2020/3/29,0
2020/3/30,5.2
2020/3/31,0
2020/4/1,0
2020/4/2,23
2020/4/3,15.8
2020/4/4,35.2
2020/4/5,4.4
2020/4/6,6.2
2020/4/7,1.4
2020/4/8,1.2
2020/4/9,0
2020/4/10,0.2
2020/4/11,2.4
2020/4/12,2.4
2020/4/13,0
2020/4/14,0.6
2020/4/15,0
2020/4/16,0.2
2020/4/17,0
2020/4/18,0
2020/4/19,0
2020/4/20,3.4
2020/4/21,0
2020/4/22,0
2020/4/23,0
2020/4/24,0.4
2020/4/25,0
2020/4/26,14
2020/4/27,0.6
2020/4/28,0
2020/4/29,3.4
2020/4/30,23.6
2020/5/1,8
2020/5/2,1.4
2020/5/3,1.8
2020/5/4,0.2
2020/5/5,0.4
